"title","id","addr","cate.major","cate.minor","avg.cost","url"
"莫尼‧布朗琪 早午餐 Morning Brunch","1136966","屏東縣內埔鄉自強路32號","早餐","西式早餐",0,"http://www.ipeen.com.tw/shop/1136966-莫尼‧布朗琪-早午餐-Morning-Brunch"
"米豆早午餐-碳烤吐司","1037194","新北市新莊區中安街29號1樓","早餐","其他類型早餐",115,"http://www.ipeen.com.tw/shop/1037194-米豆早午餐-碳烤吐司"
"<U+6E7E>島呷早頓","974864","新北市板橋區文昌街22號","早餐","西式早餐",171,"http://www.ipeen.com.tw/shop/974864-<U+6E7E>島呷早頓"
"餵我早餐 The Whale","1148027","台北市大安區建國南路二段11巷28號","早餐","西式早餐",250,"http://www.ipeen.com.tw/shop/1148027-餵我早餐-The-Whale"
"德安一街早餐店","51411","花蓮縣花蓮市德安一街59號","早餐","中式早餐",61,"http://www.ipeen.com.tw/shop/51411-德安一街早餐店"
"三喜蛋餅((原阿Q蛋餅))","1018958","台中市北區太平路36號騎樓","早餐","其他類型早餐",47,"http://www.ipeen.com.tw/shop/1018958-三喜蛋餅-原阿Q蛋餅"
"福來早餐","1074390","新北市中和區中山路三段118-3號","早餐","西式早餐",100,"http://www.ipeen.com.tw/shop/1074390-福來早餐"
"路也食光","933000","高雄市鳳山區八德路二段212巷8-1號","早餐","西式早餐",170,"http://www.ipeen.com.tw/shop/933000-路也食光"
"小食光","971814","高雄市前鎮區林森3路87號","早餐","西式早餐",240,"http://www.ipeen.com.tw/shop/971814-小食光"
"豐滿咖啡早午餐","1031078","新北市新莊區建中街40號","早餐","早午餐",172,"http://www.ipeen.com.tw/shop/1031078-豐滿咖啡早午餐"
"力行早點","606754","宜蘭縣宜蘭市力行街71號","早餐","中式早餐",41,"http://www.ipeen.com.tw/shop/606754-力行早點"
"加減吃","623590","桃園市龜山區頂興路58號","早餐","其他類型早餐",49,"http://www.ipeen.com.tw/shop/623590-加減吃"
"燒肉咬蛋(台南大同店)","976612","台南市南區大同路2段130號","早餐","其他類型早餐",86,"http://www.ipeen.com.tw/shop/976612-燒肉咬蛋-台南大同店"
"多士號 碳烤土司·紅茶牛奶","1065104","台中市西屯區文華路158號","早餐","其他類型早餐",94,"http://www.ipeen.com.tw/shop/1065104-多士號-碳烤土司·紅茶牛奶"
"扶旺號鐵板吐司(通化店)","1029102","台北市信義區基隆路二段131-5號","早餐","其他類型早餐",90,"http://www.ipeen.com.tw/shop/1029102-扶旺號鐵板吐司-通化店"
"日光徐徐(七賢店)","956658","高雄市新興區七賢一路245號","早餐","西式早餐",157,"http://www.ipeen.com.tw/shop/956658-日光徐徐-七賢店"
"初初看碳烤吐司專賣店","1248009","台北市松山區民權東路三段160巷19弄1號","早餐","早午餐",0,"http://www.ipeen.com.tw/shop/1248009-初初看碳烤吐司專賣店"
"上山採覓","1040040","台北市中山區復興北路430巷6號","早餐","西式早餐",144,"http://www.ipeen.com.tw/shop/1040040-上山採覓"
"雙魚座早午餐","1008650","高雄市新興區文昌里尚義街132號","早餐","西式早餐",137,"http://www.ipeen.com.tw/shop/1008650-雙魚座早午餐"
"覺味廚房","1089932","高雄市苓雅區仁德街26號","早餐","西式早餐",98,"http://www.ipeen.com.tw/shop/1089932-覺味廚房"
"名牌手工包子","873620","台南市中西區民生路一段143-1號","早餐","中式早餐",312,"http://www.ipeen.com.tw/shop/873620-名牌手工包子"
"why東西","1030470","台南市東區東興路20巷41號","早餐","西式早餐",283,"http://www.ipeen.com.tw/shop/1030470-why東西"
"多一點咖啡館 A Little More(文山館)","1000220","高雄市鳳山區文安南街172號","早餐","西式早餐",306,"http://www.ipeen.com.tw/shop/1000220-多一點咖啡館-A-Little-More-文山館"
"IM HOME","1157912","台北市大安區忠孝東路三段276巷10號1樓","早餐","早午餐",522,"http://www.ipeen.com.tw/shop/1157912-IM-HOME"
